x1,x2,objective
0.814724,0.905792,-0.014706
0.814724,0.905792,-0.014706
0.875828,0.815213,-0.015625
0.824908,0.769923,-0.017241
0.824908,0.769923,-0.017241
0.814724,0.543475,-0.018519
0.687423,0.611410,-0.022727
0.687423,0.611410,-0.022727
0.687423,0.611410,-0.022727
0.642231,0.693497,-0.025000
0.455418,0.706235,-0.040000
0.455418,0.706235,-0.040000
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.014003,0.854841,-0.052632
0.126987,0.913376,-0.045455
0.126987,0.913376,-0.045455
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.133336,0.867707,-0.050000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.632359,0.097540,-0.000000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.278498,0.546882,-0.050000
0.957507,0.964889,-0.011905
0.957507,0.964889,-0.011905
0.957507,0.964889,-0.011905
0.933569,0.892522,-0.013889
0.933569,0.892522,-0.013889
0.813881,0.820155,-0.016393
0.849787,0.687483,-0.017544
