x1,x2,x3,objective
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.035712,0.849129,0.933993,-0.020833
0.678735,0.757740,0.743132,-0.011628
0.678735,0.757740,0.743132,-0.011628
0.678735,0.757740,0.743132,-0.011628
0.678735,0.757740,0.743132,-0.011628
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.685020,0.715643,0.745885,-0.011765
0.392227,0.655478,0.171187,-0.021739
0.392227,0.655478,0.171187,-0.021739
0.392227,0.655478,0.171187,-0.021739
0.392227,0.655478,0.171187,-0.021739
0.392227,0.655478,0.171187,-0.021739
0.392227,0.655478,0.171187,-0.021739
